Date,Open,High,Low,Close,Adj Close,Volume
2018-10-25,3126.689941,3166.439941,3107.879883,3164.399902,3164.399902,0
2018-10-26,3157.110107,3157.110107,3090.850098,3134.889893,3134.889893,52567700
2018-10-29,3139.030029,3182.229980,3138.699951,3154.929932,3154.929932,39624600
2018-10-30,3157.310059,3169.750000,3123.919922,3147.129883,3147.129883,41080400
2018-10-31,3160.020020,3210.290039,3160.020020,3197.510010,3197.510010,59777900
2018-11-01,3196.129883,3227.419922,3192.379883,3204.209961,3204.209961,37260300
2018-11-02,3217.780029,3251.669922,3214.389893,3214.409912,3214.409912,39472300
2018-11-05,3215.729980,3230.979980,3210.760010,3217.370117,3217.370117,29800100
2018-11-06,3219.080078,3222.590088,3197.139893,3207.419922,3207.419922,0
2018-11-07,3212.669922,3251.949951,3212.669922,3246.159912,3246.159912,42407900
2018-11-08,3248.699951,3263.719971,3231.800049,3237.600098,3237.600098,32125300
2018-11-09,3233.110107,3234.790039,3204.939941,3229.489990,3229.489990,38477600
2018-11-12,3237.949951,3248.330078,3192.580078,3194.080078,3194.080078,31003300
2018-11-13,3200.080078,3228.879883,3196.699951,3224.820068,3224.820068,34613500
2018-11-14,3213.350098,3239.989990,3179.080078,3205.360107,3205.360107,32885300
2018-11-15,3210.040039,3227.739990,3164.850098,3190.310059,3190.310059,38404800
2018-11-16,3197.610107,3214.570068,3158.870117,3180.739990,3180.739990,47319600
2018-11-19,3184.510010,3206.580078,3157.949951,3160.330078,3160.330078,30101500
2018-11-20,3153.189941,3153.189941,3100.770020,3116.070068,3116.070068,44749600
2018-11-21,3124.600098,3156.770020,3124.600098,3153.909912,3153.909912,38575300
2018-11-22,3148.800049,3148.800049,3121.590088,3126.669922,3126.669922,30003600
2018-11-23,3127.939941,3145.040039,3114.739990,3137.209961,3137.209961,25803000
2018-11-26,3151.219971,3184.659912,3151.219971,3172.709961,3172.709961,45275000
2018-11-27,3173.139893,3186.840088,3151.889893,3166.419922,3166.419922,37045200
2018-11-28,3170.959961,3184.679932,3165.830078,3168.290039,3168.290039,36630100
2018-11-29,3176.310059,3197.899902,3169.850098,3174.159912,3174.159912,36788800
2018-11-30,3178.060059,3182.159912,3159.080078,3173.129883,3173.129883,42311100
2018-12-03,3187.330078,3244.979980,3187.330078,3214.989990,3214.989990,41908500
2018-12-04,3208.439941,3210.510010,3189.000000,3189.250000,3189.250000,35048100
2018-12-05,3181.679932,3181.679932,3146.110107,3150.270020,3150.270020,33559900
2018-12-06,3139.850098,3139.850098,3033.780029,3045.939941,3045.939941,56441400
2018-12-07,3057.989990,3097.919922,3057.989990,3058.530029,3058.530029,39897000
2018-12-10,3054.669922,3054.669922,3007.530029,3016.989990,3016.989990,43098700
2018-12-11,3028.929932,3083.500000,3028.929932,3055.320068,3055.320068,42336900
2018-12-12,3059.250000,3119.199951,3059.250000,3107.969971,3107.969971,47486300
2018-12-13,3110.570068,3128.100098,3100.110107,3112.169922,3112.169922,45330100
2018-12-14,3102.090088,3103.169922,3063.229980,3092.600098,3092.600098,34270600
2018-12-17,3088.969971,3092.820068,3053.560059,3063.649902,3063.649902,36582200
2018-12-18,3054.010010,3067.540039,3040.129883,3040.129883,3040.129883,43622700
2018-12-19,3042.189941,3063.699951,3042.189941,3051.379883,3051.379883,46652700
2018-12-20,3031.320068,3031.320068,2993.399902,3000.060059,3000.060059,57123500
2018-12-21,2996.919922,3003.060059,2957.560059,3000.610107,3000.610107,84815000
2018-12-27,2987.669922,2997.239990,2908.699951,2937.360107,2937.360107,45597600
2018-12-28,2952.050049,2996.169922,2951.510010,2986.530029,2986.530029,32799300
2019-01-03,2978.280029,2984.520020,2950.820068,2954.659912,2954.659912,35085500
2019-01-04,2964.149902,3050.659912,2964.149902,3041.850098,3041.850098,43092600
2019-01-07,3050.000000,3054.719971,3016.320068,3033.639893,3033.639893,32772200
2019-01-08,3032.070068,3079.110107,3032.070068,3054.939941,3054.939941,38910200
2019-01-09,3062.370117,3089.169922,3060.959961,3070.239990,3070.239990,39381800
2019-01-10,3065.659912,3075.830078,3043.550049,3075.729980,3075.729980,30601200
2019-01-11,3079.590088,3087.659912,3056.360107,3070.040039,3070.040039,32135700
2019-01-14,3060.620117,3063.340088,3037.129883,3055.179932,3055.179932,31173600
2019-01-15,3066.020020,3088.489990,3044.530029,3068.050049,3068.050049,36607500
2019-01-16,3073.060059,3083.560059,3062.270020,3077.219971,3077.219971,37834400
2019-01-17,3069.409912,3073.000000,3053.080078,3069.350098,3069.350098,32652500
2019-01-18,3079.149902,3137.419922,3079.149902,3134.919922,3134.919922,47970500
